ID (Station ID),Station Names,Layout,Metro Line
1,Shaheed Sthal(First Station),Elevated,Red line
2,Hindon River,Elevated,Red line
3,Arthala,Elevated,Red line
4,Mohan Nagar,Elevated,Red line
5,Shyam park,Elevated,Red line
6,Major Mohit Sharma,Elevated,Red line
7,Raj Bagh,Elevated,Red line
8,Shaheed Nagar,Elevated,Red line
9,Dilshad Garden,Elevated,Red line
10,Jhil Mil,Elevated,Red line
11,Mansarovar Park,Elevated,Red line
12,Shahdara,Elevated,Red line
13,Welcome [Conn: Pink],Elevated,Red line
14,Seelampur,Elevated,Red line
15,Shastri Park,Elevated,Red line
16,"Kashmere Gate [Conn: Violet,Yellow]",Elevated,Red line
17,Tis Hazari,Elevated,Red line
18,Pul Bangash,Elevated,Red line
19,Pratap Nagar,Elevated,Red line
20,Shastri Nagar,Elevated,Red line
21,Inderlok [Conn: Green],Elevated,Red line
22,Kanhaiya Nagar,Elevated,Red line
23,Keshav Puram,Elevated,Red line
24,Netaji Subash Place [Conn: Pink],Elevated,Red line
25,Kohat Enclave,Elevated,Red line
26,Pitam Pura,Elevated,Red line
27,Rohini East,Elevated,Red line
28,Rohini West,Elevated,Red line
29,Rithala(last station),Elevated,Red line
,,,
101,Samaypur Badli(First Station),Elevated,Yellow line
102,Rohini Sector 18-19,Elevated,Yellow line
103,Haiderpur Badli Mor,Elevated,Yellow line
104,Jahangirpuri,Elevated,Yellow line
105,Adarsh Nagar,Elevated,Yellow line
106,Azadpur [Conn: Pink],Elevated,Yellow line
107,Model Town,Elevated,Yellow line
108,Guru Tegh Bahadur Nagar,Underground,Yellow line
109,Vishwavidyalaya,Underground,Yellow line
110,Vidhan Sabha,Underground,Yellow line
111,Civil Lines,Underground,Yellow line
112,Kashmere Gate [Conn: Violet],Underground,Yellow line
113,Chandni Chowk,Underground,Yellow line
114,Chawri Bazar,Underground,Yellow line
115,New Delhi [Conn: Orange],Underground,Yellow line
116,Rajiv Chowk [Conn: Blue],Underground,Yellow line
117,Patel Chowk,Underground,Yellow line
118,Central Secretariat [Conn: Violet],Underground,Yellow line
119,Udyog Bhawan,Underground,Yellow line
120,Lok Kalyan Marg,Underground,Yellow line
121,Jor Bagh,Underground,Yellow line
122,Dilli Haat INA [Conn: Pink],Underground,Yellow line
123,AIIMS,Underground,Yellow line
124,Green Park,Underground,Yellow line
125,Hauz Khas [Conn: Magenta],Underground,Yellow line
126,Malviya Nagar,Underground,Yellow line
127,Saket,Underground,Yellow line
128,Qutab Minar,Elevated,Yellow line
129,Chhattarpur,Elevated,Yellow line
130,Sultanpur,Elevated,Yellow line
131,Ghitorni,Elevated,Yellow line
132,Arjan Garh,Elevated,Yellow line
133,Guru Dronacharya,Elevated,Yellow line
